#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-09-23T09:57:58 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ614c4eaa3bccb1	
#INFO	-out.max=unlimited	
#INFO	queryParameters=26	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/618/A93&tab:{J/A+A/618/A93/members}&key:source=J/A+A/618/A93/members&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/618/A93/members
#-order=I
#-out=RA_ICRS
#-out=DE_ICRS
#-out=Source
#-out=GLON
#-out=GLAT
#-out=plx
#-out=pmRA
#-out=pmDE
#-out=o_Gmag
#-out=Gmag
#-out=BP-RP
#-out=PMemb
#-out=Cluster
#Cluster=NGC_2509
#-out=SimbadName
#-out=_RA.icrs
#-out=_DE.icrs
#

#RESOURCE=yCat_36180093
#Name: J/A+A/618/A93
#Title: Gaia DR2 open clusters in the Milky Way (Cantat-Gaudin+, 2018)
#Coosys	H_2015.500:	ICRS
#Table	J_A_A_618_A93_members:
#Name: J/A+A/618/A93/members
#Title: Membership probabilities of all individual stars
#Column	RA_ICRS	(F15.11)	[] Gaia DR2 right ascension (ICRS) at Ep=2015.5 (ra)	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F15.11)	Gaia DR2 declination (ICRS) at Ep=2015.5 (dec)	[ucd=pos.eq.dec;meta.main]
#Column	Source	(I19)	Gaia DR2 source_id (source_id)	[ucd=meta.id;meta.main]
#Column	GLON	(F14.10)	[] Gaia DR2 Galactic longitude (l)	[ucd=pos.galactic.lon]
#Column	GLAT	(F14.10)	Gaia DR2 Galactic latitude (b)	[ucd=pos.galactic.lat]
#Column	plx	(F10.4)	Gaia DR2 parallax (parallax)	[ucd=pos.parallax.trig]
#Column	pmRA	(F9.3)	Gaia DR2 proper motion along RA (pmra)	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F9.3)	Gaia DR2 proper motion along DE (pmdec)	[ucd=pos.pm;pos.eq.dec]
#Column	o_Gmag	(I3)	Gaia DR2 number of G observations (phot_g_n_obs)	[ucd=meta.number]
#Column	Gmag	(F9.6)	Gaia DR2 mean G magnitude (phot_g_mean_mag)	[ucd=phot.mag;em.opt]
#Column	BP-RP	(F9.6)	? Gaia DR2 BP minus RP colour null if missing in DR2 (bp_rp)	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	PMemb	(F4.1)	Membership probability (proba)	[ucd=stat.fit.goodness]
#Column	Cluster	(a17)	Corresponding cluster (cluster)	[ucd=meta.id.parent]
#Column	SimbadName	(A28)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA.icrs	(F15.11)	Right ascension (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F15.11)	Declination (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.dec]
RA_ICRS	DE_ICRS	Source	GLON	GLAT	plx	pmRA	pmDE	o_Gmag	Gmag	BP-RP	PMemb	Cluster	SimbadName	_RA.icrs	_DE.icrs
120.20066161502	-19.03497914258	5714216698976454144	237.8260172992	  5.8571553547	    0.3738	   -2.864	    0.671	351	12.554119	 1.108632	 0.9	NGC_2509         	                            	120.20067465940	-19.03498203161
120.25137658551	-19.01762587113	5714216806359109376	237.8362036718	  5.9071266007	    0.3665	   -2.676	    0.725	353	15.813500	 0.773292	 1.0	NGC_2509         	Gaia DR2 5714216806359109376	120.25138877235	-19.01762899266
120.14271023333	-19.03819530637	5714219413395785472	237.8001367996	  5.8086936771	    0.3573	   -2.648	    0.700	341	12.180508	 1.425289	 1.0	NGC_2509         	Gaia DR2 5714219413395785472	120.14272229415	-19.03819832026
120.22301847994	-19.13323335439	5714214779134813312	237.9214086632	  5.8240645023	    0.3657	   -2.816	    0.731	333	13.705229	 0.729306	 1.0	NGC_2509         	Gaia DR2 5714214779134813312	120.22303131331	-19.13323650175
120.18757416352	-18.91641580725	5714222716234108160	237.7177488055	  5.9082582528	    0.2751	   -2.028	    1.233	301	13.756483	 0.628718	 0.5	NGC_2509         	                            	120.18758339369	-18.91642111600
120.24877530088	-19.00909679501	5714218283827858304	237.8275952815	  5.9094663527	    0.3445	   -2.673	    0.731	348	13.159818	 1.219904	 1.0	NGC_2509         	Gaia DR2 5714218283827858304	120.24878747344	-19.00909994237
120.31507712562	-19.15751137967	5714202787586066944	237.9877737074	  5.8856612920	    0.3516	   -2.813	    0.646	357	15.031044	 0.661900	 1.0	NGC_2509         	Gaia DR2 5714202787586066944	120.31508994721	-19.15751416106
120.19352318757	-19.08643906534	5714215913006178688	237.8666638782	  5.8246190336	    0.3167	   -2.680	    0.657	361	14.876560	 0.645451	 0.7	NGC_2509         	                            	120.19353539769	-19.08644189409
120.09329014990	-19.13884899223	5714209689591479424	237.8621518096	  5.7164699462	    0.3478	   -2.768	    0.782	282	13.087936	 1.226139	 1.0	NGC_2509         	Gaia DR2 5714209689591479424	120.09330276495	-19.13885235917
120.20271024496	-18.94646587080	5714222441356202624	237.7510378342	  5.9048570772	    0.3274	   -2.896	    0.746	347	13.830797	 0.644809	 0.8	NGC_2509         	                            	120.20272342808	-18.94646908274
120.19363010856	-19.05451096879	5714216252301639680	237.8393085538	  5.8413171976	    0.3403	   -2.706	    0.733	358	13.689820	 0.717695	 1.0	NGC_2509         	Gaia DR2 5714216252301639680	120.19364243477	-19.05451412476
120.24592836645	-19.01575603105	5714216806359110912	237.8319031180	  5.9037018621	    0.3637	   -2.757	    0.741	349	15.140061	 0.675815	 1.0	NGC_2509         	Gaia DR2 5714216806359110912	120.24594092204	-19.01575922147
120.22114428394	-19.13507487582	5714214779134815360	237.9220627219	  5.8215940721	    0.3792	   -2.705	    0.749	360	15.117224	 0.661721	 1.0	NGC_2509         	Gaia DR2 5714214779134815360	120.22115661159	-19.13507810068
120.20048318457	-19.07451741078	5714216011783739648	237.8598704779	  5.8364392227	    0.4503	   -2.650	    0.672	370	16.186262	 0.809938	 0.7	NGC_2509         	                            	120.20049525714	-19.07452030411
120.20383025402	-19.04192825454	5714216698976454784	237.8335495078	  5.8560977082	    0.3624	   -2.484	    0.753	342	12.917490	 1.203424	 0.8	NGC_2509         	                            	120.20384156813	-19.04193149662
120.19831531843	-19.04456489474	5714216321019332992	237.8330863793	  5.8502739460	    0.3740	   -2.874	    0.677	359	11.881781	 1.345462	 0.8	NGC_2509         	                            	120.19832840912	-19.04456780960
120.24127804439	-19.02085510247	5714216806359113216	237.8339796324	  5.8972938016	    0.3769	   -2.736	    0.691	368	14.436449	 0.617806	 0.9	NGC_2509         	                            	120.24129050472	-19.02085807761
120.22626943440	-19.14180043940	5714214779134814720	237.9303684976	  5.8222272499	    0.3477	   -2.725	    0.762	350	12.764236	 1.252687	 1.0	NGC_2509         	Gaia DR2 5714214779134814720	120.22628185370	-19.14180372023
120.23711459931	-19.01582369850	5714216806359113472	237.8276009930	  5.8965515298	    0.2733	   -2.658	    0.814	355	15.961654	 0.776892	 0.8	NGC_2509         	                            	120.23712670405	-19.01582720322
120.26600241731	-19.20203311826	5714196740272171136	238.0017010588	  5.8229028788	    0.2950	   -2.701	    0.708	289	15.633281	 0.735835	 0.7	NGC_2509         	                            	120.26601473173	-19.20203616659
120.21506764671	-18.98340725549	5714219898735566720	237.7888667900	  5.8956193917	    0.3768	   -2.686	    0.820	363	13.650672	 0.750360	 1.0	NGC_2509         	Gaia DR2 5714219898735566720	120.21507987658	-18.98341078605
120.22138183590	-19.14120991823	5714214779134817536	237.9274456414	  5.8185921981	    0.4178	   -2.789	    0.781	347	16.705845	 0.900383	 0.9	NGC_2509         	                            	120.22139454684	-19.14121328087
120.24085151725	-19.16535593515	5714197083869555712	237.9577928308	  5.8217245100	    0.2742	   -2.721	    0.978	305	17.592983	 1.082815	 0.5	NGC_2509         	                            	120.24086392009	-19.16536014598
120.24975167553	-19.03569304244	5714216561536744960	237.8509082559	  5.8964100871	    0.3328	   -2.688	    0.847	338	16.963148	 0.934080	 0.8	NGC_2509         	                            	120.24976391836	-19.03569668925
120.29369069185	-19.13911302203	5714203058159423360	237.9614048497	  5.8780027499	    0.2670	   -2.781	    0.715	348	17.864464	 1.156132	 0.3	NGC_2509         	                            	120.29370336617	-19.13911610050
120.22128986265	-19.00227105530	5714219830016091776	237.8081390420	  5.8908283513	    0.2473	   -2.780	    0.978	342	17.411346	 1.048016	 0.6	NGC_2509         	                            	120.22130252195	-19.00227526613
120.20020189387	-19.11299599712	5714215054012725760	237.8927607799	  5.8161895832	    0.3509	   -2.723	    0.744	343	15.035501	 0.673604	 1.0	NGC_2509         	Gaia DR2 5714215054012725760	120.20021430189	-19.11299920045
120.22467856127	-19.01845671207	5714216840718856064	237.8237099417	  5.8851416259	    0.3753	   -2.765	    0.766	323	12.959528	 1.224836	 0.8	NGC_2509         	                            	120.22469115350	-19.01846001013
120.19260731163	-19.20572259028	5714196529811558528	237.9685942272	  5.7618068522	    0.3364	   -2.663	    0.493	308	17.919956	 1.397882	 0.3	NGC_2509         	                            	120.19261945307	-19.20572471292
120.22736687430	-19.01788932216	5714216840718854784	237.8245525224	  5.8876071978	    0.3113	   -3.014	    0.823	374	15.822835	 0.773414	 0.5	NGC_2509         	                            	120.22738060046	-19.01789286563
120.22488642656	-19.01582412976	5714216840718855040	237.8215528088	  5.8866794234	    0.3882	   -2.638	    0.714	349	15.621035	 0.736090	 0.9	NGC_2509         	                            	120.22489844022	-19.01582720393
120.30468913039	-19.11583991833	5714203474780825728	237.9468760936	  5.8989968469	    0.2878	   -2.691	    0.807	329	15.632290	 0.722858	 0.8	NGC_2509         	                            	120.30470139281	-19.11584339291
120.24121713860	-19.03748038416	5714216565840947328	237.8482205732	  5.8885911180	    0.3718	   -2.711	    0.749	352	12.801281	 1.243267	 1.0	NGC_2509         	Gaia DR2 5714216565840947328	120.24122948632	-19.03748360902
120.20822565111	-18.99105946326	5714219898735570048	237.7920524665	  5.8861129697	    0.3478	   -2.794	    0.810	357	13.806382	 0.731991	 1.0	NGC_2509         	Gaia DR2 5714219898735570048	120.20823837331	-18.99106295076
120.23147871863	-19.03707956878	5714216668920165888	237.8430596381	  5.8809391902	    0.3628	   -2.777	    0.803	333	13.965710	 0.655202	 1.0	NGC_2509         	Gaia DR2 5714216668920165888	120.23149136692	-19.03708302614
120.17602981665	-18.94621455196	5714220998247199360	237.7376274791	  5.8834345320	    0.3357	   -2.629	    0.778	329	17.013872	 0.896357	 0.7	NGC_2509         	                            	120.17604178432	-18.94621790168
120.39114333598	-19.06977044940	5714205055328732288	237.9501562987	  5.9927325016	    0.4053	   -2.667	    0.592	308	17.123130	 0.972117	 0.5	NGC_2509         	                            	120.39115548565	-19.06977299829
120.24127948040	-19.03184360830	5714216561536748288	237.8434128774	  5.8915754416	    0.3673	   -2.771	    0.790	367	17.855526	 1.148815	 0.7	NGC_2509         	                            	120.24129210097	-19.03184700969
120.23637714367	-19.03916889663	5714216462761734656	237.8472759200	  5.8838056187	    0.2917	   -2.569	    0.510	348	16.782473	 0.750359	 0.3	NGC_2509         	                            	120.23638884474	-19.03917109246
120.22249746839	-19.09310268220	5714215191451657856	237.8867068570	  5.8445325539	    0.3359	   -2.709	    0.769	374	13.639136	 0.735079	 0.9	NGC_2509         	                            	120.22250981114	-19.09310599317
120.23794224345	-19.04032195694	5714216462761734528	237.8490398313	  5.8844687307	    0.4268	   -2.678	    0.752	335	15.518386	 0.705627	 0.9	NGC_2509         	                            	120.23795444107	-19.04032519472
120.19889818612	-19.12131820682	5714215054012729856	237.8992597950	  5.8108069559	    0.4085	   -2.681	    0.738	342	15.809402	 0.867802	 1.0	NGC_2509         	Gaia DR2 5714215054012729856	120.19891040338	-19.12132138432
120.07316273151	-19.06749863135	5714213439104812672	237.7909544725	  5.7373028715	    0.2515	   -2.114	    1.274	351	13.333759	 1.437736	 0.4	NGC_2509         	                            	120.07317236183	-19.06750411663
120.19473440690	-19.11481413537	5714215054012729728	237.8916192396	  5.8108319649	    0.2982	   -2.746	    1.699	316	17.677100	 1.041880	 0.2	NGC_2509         	                            	120.19474691987	-19.11482145051
120.19190466454	-18.97890076977	5714220070534265088	237.7735424626	  5.8792576089	    0.3327	   -2.691	    0.704	348	15.052203	 0.745487	 1.0	NGC_2509         	Gaia DR2 5714220070534265088	120.19191691685	-18.97890380088
120.17703692623	-18.95411464561	5714220929527724032	237.7449089763	  5.8801397832	    0.3319	   -2.748	    0.994	325	15.654875	 0.743245	 0.6	NGC_2509         	                            	120.17704943620	-18.95411892533
120.23294724615	-19.04536383922	5714216462761737216	237.8508971461	  5.8778128226	    0.4061	   -2.718	    0.736	339	15.456934	 0.696663	 1.0	NGC_2509         	Gaia DR2 5714216462761737216	120.23295962634	-19.04536700811
120.19882487177	-19.05105931813	5714216256593395968	237.8389134888	  5.8473063002	    0.4036	   -2.737	    0.746	339	16.010199	 0.775050	 0.9	NGC_2509         	                            	120.19883733893	-19.05106253007
120.20617158857	-19.00089887995	5714219864375835008	237.7994840211	  5.8793351811	    0.3366	   -2.644	    0.677	355	16.726845	 0.916094	 0.8	NGC_2509         	                            	120.20618362847	-19.00090179481
120.20082399730	-18.99767229441	5714219864375836416	237.7940694711	  5.8766957047	    0.4486	   -2.708	    0.699	357	16.615341	 0.889624	 0.8	NGC_2509         	                            	120.20083632840	-18.99767530399
120.26663753614	-19.06029352299	5714215741207424640	237.8803775670	  5.8972300209	    0.3286	   -2.727	    0.804	347	15.655678	 0.717399	 0.9	NGC_2509         	                            	120.26664995844	-19.06029698466
120.17718545591	-19.05541456799	5714216286661356800	237.8319560252	  5.8275724396	    0.3133	   -2.869	    1.026	375	17.479400	 1.070501	 0.6	NGC_2509         	                            	120.17719852468	-19.05541898549
120.21554223107	-19.02659433815	5714216737639646720	237.8261772424	  5.8735312022	    0.3676	   -2.715	    0.854	339	13.076073	 1.214415	 1.0	NGC_2509         	Gaia DR2 5714216737639646720	120.21555459619	-19.02659801509
120.19338657790	-19.02068069239	5714219653915750528	237.8101453100	  5.8587206833	    0.4032	   -2.661	    0.879	343	17.576828	 1.074642	 0.6	NGC_2509         	                            	120.19339869666	-19.02068447697
120.26887783379	-18.99337507417	5714218318187587072	237.8240472857	  5.9338792796	    0.4126	   -2.703	    0.777	326	14.436116	 0.602235	 1.0	NGC_2509         	Gaia DR2 5714218318187587072	120.26889014180	-18.99337841959
120.17199548892	-19.13313119601	5714209139835672960	237.8961064700	  5.7829546055	    0.3880	   -2.726	    0.834	315	16.842255	 0.922384	 0.9	NGC_2509         	                            	120.17200791213	-19.13313478684
120.16737653437	-19.08790269908	5714216084804886272	237.8549992133	  5.8027554379	    0.3690	   -2.663	    0.776	355	16.291344	 0.820996	 0.9	NGC_2509         	                            	120.16738866715	-19.08790604019
120.23088529357	-19.04492649547	5714216462761738368	237.8495019296	  5.8763761660	    0.3381	   -2.779	    0.776	367	12.409459	 1.347987	 0.9	NGC_2509         	                            	120.23089795157	-19.04492983658
120.19401913422	-18.99115241696	5714220070534267904	237.7851069466	  5.8745922594	    0.4204	   -2.770	    0.586	338	16.356106	 0.852542	 0.7	NGC_2509         	                            	120.19403174715	-18.99115494002
120.16042715411	-18.94825738071	5714220998247205504	237.7316674979	  5.8697670003	    0.2500	   -2.774	    0.763	331	16.835210	 0.936653	 0.4	NGC_2509         	                            	120.16043978200	-18.94826066585
120.20164041654	-19.00948628700	5714219692577146880	237.8046157817	  5.8712087625	    0.2679	   -2.753	    0.712	375	16.176516	 0.805756	 0.9	NGC_2509         	                            	120.20165295344	-19.00948935256
120.20540959376	-19.02616416163	5714216733335445504	237.8207974261	  5.8655748198	    0.4131	   -2.874	    0.625	357	17.276278	 0.994877	 0.6	NGC_2509         	                            	120.20542268299	-19.02616685260
120.20252618257	-19.01477472430	5714219692577148160	237.8095939403	  5.8691725777	    0.4207	   -2.637	    0.878	364	15.176343	 0.756518	 1.0	NGC_2509         	Gaia DR2 5714219692577148160	120.20253819160	-19.01477850458
120.21228083243	-19.02667555734	5714216737639647360	237.8246341593	  5.8708560098	    0.3384	   -2.702	    0.744	364	13.002153	 1.260400	 0.9	NGC_2509         	                            	120.21229313835	-19.02667876067
120.19718251945	-19.14207426822	5714209075418261888	237.9162274288	  5.7986214833	    0.3860	   -2.624	    0.516	324	15.044317	 0.735119	 0.6	NGC_2509         	                            	120.19719447846	-19.14207648989
120.20146461432	-19.02433078825	5714219692577149824	237.8172728941	  5.8633437489	    0.3851	   -2.838	    0.720	360	16.709587	 0.885187	 0.8	NGC_2509         	                            	120.20147753945	-19.02433388825
120.26495834563	-18.97947254516	5714218489986276992	237.8101733923	  5.9379523982	    0.2985	   -2.796	    0.686	339	16.963747	 0.944824	 0.8	NGC_2509         	                            	120.26497107605	-18.97947549877
120.19476964415	-19.13484069209	5714209109777998976	237.9088263556	  5.8004392353	    0.3051	   -2.989	    0.696	325	17.739437	 1.196787	 0.4	NGC_2509         	                            	120.19478326607	-19.13484368876
120.29162960560	-19.07722484043	5714215466329511040	237.9072753311	  5.9085776476	    0.3442	   -2.696	    0.784	346	13.936923	 0.673232	 1.0	NGC_2509         	Gaia DR2 5714215466329511040	120.29164188794	-19.07722821599
120.21993593395	-19.05226803083	5714216428402004736	237.8503890547	  5.8637176649	    0.3983	   -2.431	    1.070	361	14.746565	 0.640254	 0.4	NGC_2509         	                            	120.21994700734	-19.05227263777
120.18482309012	-19.11648729352	5714209934411718784	237.8881575403	  5.8019641435	    0.3972	   -2.659	    0.733	318	12.883292	 1.275397	 1.0	NGC_2509         	Gaia DR2 5714209934411718784	120.18483520677	-19.11649044949
120.21521067549	-19.04272334341	5714216634560434560	237.8398591277	  5.8648705738	    0.3867	   -2.666	    0.944	371	14.097795	 0.586879	 1.0	NGC_2509         	Gaia DR2 5714216634560434560	120.21522281863	-19.04272740785
120.21467863481	-19.05900952843	5714216050444885632	237.8535764152	  5.8559660547	    0.3748	   -2.630	    0.786	382	14.694167	 0.712839	 1.0	NGC_2509         	Gaia DR2 5714216050444885632	120.21469061515	-19.05901291260
120.18205289012	-19.00262392691	5714219967455058432	237.7890395927	  5.8589618490	    0.3440	   -2.669	    0.815	339	14.209643	 0.615366	 1.0	NGC_2509         	Gaia DR2 5714219967455058432	120.18206504399	-19.00262743594
120.20362492041	-19.03699207230	5714216703279913984	237.8292104635	  5.8585002779	    0.3347	   -2.669	    0.716	350	11.696657	 1.422151	 0.8	NGC_2509         	                            	120.20363707679	-19.03699515508
120.09864478538	-19.01226444997	5714220306750787328	237.7561045513	  5.7865854216	    0.2644	   -2.249	    0.602	340	16.628134	 0.949478	 0.1	NGC_2509         	                            	120.09865502728	-19.01226704191
120.18286225050	-19.24380264895	5714196121796947584	237.9964614238	  5.7341306966	    0.3292	   -2.730	    0.669	315	16.175518	 0.770283	 0.8	NGC_2509         	                            	120.18287470030	-19.24380552937
120.14629596652	-19.19429859490	5714208525662501504	237.9359178556	  5.7304023093	    0.3151	   -2.585	    0.784	288	16.141472	 0.811949	 0.6	NGC_2509         	                            	120.14630775152	-19.19430197046
120.13220989489	-19.04075288408	5714219417689390720	237.7971453404	  5.7988851338	    0.4621	   -2.780	    0.859	355	17.342693	 0.989731	 0.9	NGC_2509         	                            	120.13222255713	-19.04075658255
120.05657990683	-19.12904892045	5714212614471101568	237.8356232968	  5.6919325162	    0.3401	   -2.766	    1.213	341	16.160452	 1.229789	 0.4	NGC_2509         	                            	120.05659251202	-19.12905414309
120.04910087963	-19.12366911395	5714212820629532544	237.8273143209	  5.6886901793	    0.3886	   -2.716	    0.888	315	17.077742	 0.994881	 0.5	NGC_2509         	                            	120.04911325656	-19.12367293728
120.20000840819	-19.10703194221	5714215054012723968	237.8875458619	  5.8191370266	    0.4278	   -2.770	    0.779	336	15.812818	 0.767196	 1.0	NGC_2509         	Gaia DR2 5714215054012723968	120.20002102993	-19.10703529624
120.20407435034	-19.04749117458	5714216634560439424	237.8384456956	  5.8534002819	    0.3563	   -2.703	    0.708	378	14.098365	 0.657719	 1.0	NGC_2509         	Gaia DR2 5714216634560439424	120.20408666236	-19.04749422291
120.16238537575	-19.24082375227	5714196293595650304	237.9837937332	  5.7191720160	    0.3758	   -2.978	    1.029	313	16.694760	 0.769636	 0.2	NGC_2509         	                            	120.16239895628	-19.24082818269
120.18482347800	-19.07939138258	5714216119164611968	237.8563142301	  5.8212645812	    0.3985	   -2.673	    0.683	364	16.124075	 0.800458	 1.0	NGC_2509         	Gaia DR2 5714216119164611968	120.18483565571	-19.07939432327
120.20128462888	-19.04959746214	5714216252299856896	237.8388746048	  5.8500524512	    0.4181	   -2.702	    0.743	351	15.071669	 0.656806	 1.0	NGC_2509         	Gaia DR2 5714216252299856896	120.20129693650	-19.04960066117
120.25711761875	-19.07429847853	5714215638128218880	237.8876882202	  5.8822562798	    0.3359	   -2.816	    0.751	322	15.465536	 0.693617	 0.9	NGC_2509         	                            	120.25713044755	-19.07430171200
120.24627918852	-19.05706050818	5714216394042462848	237.8675313269	  5.8824843733	    0.4075	   -2.763	    0.846	332	14.813448	 0.645160	 1.0	NGC_2509         	Gaia DR2 5714216394042462848	120.24629177456	-19.05706415068
