#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-01-19T16:49:41 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ61e8406795e9	
#INFO	-out.max=unlimited	
#INFO	queryParameters=20	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/640/A1&tab:{J/A+A/640/A1/table1}&key:source=J/A+A/640/A1/table1&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/640/A1/table1
#-order=I
#-out=Cluster
#-out=RA_ICRS
#-out=DE_ICRS
#-out=nbstars07
#-out=pmRA*
#-out=pmDE
#-out=plx
#-out=AgeNN
#-out=AVNN
#-out=DMNN
#-out=DistPc
#

#RESOURCE=yCat_36400001
#Name: J/A+A/640/A1
#Title: Portrait Galactic disc (Cantat-Gaudin+, 2020)
#Coosys	H_2015.500:	ICRS
#Table	J_A_A_640_A1_table1:
#Name: J/A+A/640/A1/table1
#Title: Mean cluster parameters
#Column	Cluster	(a17)	Cluster name	[ucd=meta.id.parent]
#Column	RA_ICRS	(F7.3)	[] Mean right ascension of members (ICRS) at Ep=2015.5	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F7.3)	Mean declination of members (ICRS) at Ep=2015.5	[ucd=pos.eq.dec;meta.main]
#Column	nbstars07	(I4)	Number of members with proba over 0.7	[ucd=meta.number]
#Column	pmRA*	(F7.3)	Mean proper motion along RA of members, pmRA*cosDE	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F7.3)	Mean proper motion along DE of members	[ucd=pos.pm;pos.eq.dec]
#Column	plx	(F6.3)	Mean parallax of members	[ucd=pos.parallax.trig]
#Column	AgeNN	(F5.2)	? Age (logt) of the cluster	[ucd=time.age]
#Column	AVNN	(F5.2)	? Extinction Av of the cluster	[ucd=phys.absorption]
#Column	DMNN	(F5.2)	? Distance modulus of the cluster	[ucd=phot.mag.distMod]
#Column	DistPc	(F6)	? Distance in parsecs (converted distance modulus)	[ucd=pos.distance;pos.heliocentric]
Cluster	RA_ICRS	DE_ICRS	nbstars07	pmRA*	pmDE	plx	AgeNN	AVNN	DMNN	DistPc
BH_211           	255.535	-41.113	  71	 -0.671	 -1.943	 0.524	 8.63	 2.18	11.40	  1903
BH_217           	259.071	-40.815	  99	 -0.661	 -1.826	 0.310	 7.54	 3.27	12.46	  3106
BH_221           	259.641	-32.334	 133	  2.000	 -1.568	 0.884	 7.03	 1.09	10.42	  1213
BH_222           	259.694	-38.289	 104	 -2.091	 -3.192	 0.114	     	     	     	
BH_23            	123.449	-36.329	  86	 -7.101	  7.350	 2.257	 7.46	 0.00	 8.32	   462
BH_245           	266.561	-29.700	  31	 -0.497	 -2.194	 0.336	     	     	     	
BH_37            	128.946	-43.610	 101	 -3.484	  3.953	 0.243	 8.24	 3.40	13.03	  4038
BH_54            	132.413	-44.353	  42	 -4.759	  5.244	 0.420	 6.94	 2.53	11.76	  2245
BH_55            	134.042	-39.518	  60	 -3.971	  3.118	 0.185	 9.36	 1.22	13.40	  4783
BH_56            	134.355	-43.181	 109	 -5.570	  5.439	 1.078	 7.25	 0.70	 9.62	   840
BH_66            	141.314	-54.719	  27	 -4.157	  3.599	 0.097	 8.86	 1.38	14.00	  6301
BH_67            	141.687	-51.273	  43	 -3.640	  2.811	 0.098	 8.79	 3.00	14.56	  8167
BH_72            	142.838	-53.040	  55	 -4.621	  3.299	 0.110	 8.35	 2.53	13.83	  5844
BH_73            	142.981	-50.225	  54	 -3.574	  2.306	 0.105	 8.87	 2.73	14.13	  6708
BH_78            	145.952	-56.574	  46	 -3.690	  2.710	 0.150	 8.53	 3.15	13.66	  5400
BH_84            	150.331	-58.218	  57	 -4.848	  3.289	 0.200	 8.13	 2.09	13.24	  4449
BH_85            	150.469	-49.564	  74	 -5.689	  4.676	 0.106	 9.36	 1.10	14.37	  7481
BH_87            	151.148	-55.386	 177	 -6.335	  2.626	 0.416	 8.07	 1.36	11.63	  2121
BH_90            	153.064	-58.069	 126	 -5.385	  2.295	 0.369	 8.10	 1.39	12.23	  2792
BH_92            	154.779	-56.425	  41	 -5.896	  3.446	 0.388	 8.33	 1.33	11.89	  2384
BH_99            	159.553	-59.168	 371	-14.494	  0.919	 2.225	 7.98	 0.34	 8.35	   467
Barkhatova_1     	313.398	+46.037	  47	 -2.440	 -4.478	 0.476	 8.42	 1.18	11.71	  2195
Basel_1          	282.036	-05.876	  79	 -0.079	 -4.509	 0.525	 8.36	 1.24	11.33	  1846
Basel_10         	034.878	+58.304	   8	 -0.480	 -0.815	 0.442	 7.85	 1.66	11.83	  2327
Basel_11a        	109.296	-13.988	  92	 -1.581	  0.929	 0.709	 7.98	 0.33	10.67	  1363
Basel_11b        	089.547	+21.965	  73	  1.046	 -4.137	 0.534	 8.36	 1.56	11.27	  1793
Basel_17         	167.650	-59.047	  18	 -6.628	  2.174	 0.438	 8.02	 0.45	11.81	  2305
Basel_18         	201.967	-62.306	  49	 -5.008	 -2.050	 0.508	 7.44	 0.65	11.35	  1863
Basel_4          	087.242	+30.190	  45	  0.835	 -1.801	 0.286	 8.05	 1.48	12.61	  3322
Basel_8          	098.550	+08.005	  14	 -0.129	 -2.373	 0.625	 7.84	 0.64	10.90	  1510
Berkeley_1       	002.449	+60.476	  48	 -2.758	 -0.173	 0.235	 8.48	 1.52	12.89	  3779
Berkeley_10      	054.894	+66.486	 179	 -1.470	  1.047	 0.372	 9.08	 1.94	11.87	  2365
Berkeley_100     	351.485	+63.781	  31	 -3.372	 -1.557	 0.123	 9.09	 2.48	13.92	  6084
Berkeley_101     	353.213	+64.209	  38	 -1.899	 -1.089	 0.177	 8.58	 2.84	13.15	  4272
Berkeley_102     	354.660	+56.637	  21	 -1.559	 -0.340	 0.050	 9.59	 1.11	15.11	 10519
Berkeley_103     	356.303	+59.297	  33	 -1.348	 -0.861	 0.093	 9.04	 2.40	13.91	  6060
Berkeley_104     	000.865	+63.587	  47	 -2.392	  0.090	 0.198	 8.89	 1.36	13.18	  4325
Berkeley_11      	065.126	+44.922	  76	  1.080	 -1.883	 0.322	 7.84	 2.51	12.42	  3050
Berkeley_12      	071.100	+42.691	  76	  0.836	 -1.713	 0.202	 9.30	 2.16	13.17	  4298
Berkeley_13      	073.943	+52.809	 135	 -0.078	  0.558	 0.208	 8.69	 2.09	12.99	  3958
Berkeley_14      	074.935	+43.488	 189	  1.504	  0.426	 0.187	 9.43	 1.40	13.47	  4933
Berkeley_14A     	075.278	+43.429	   4	 -0.225	 -2.741	 0.882	     	     	     	
Berkeley_15      	075.520	+44.506	 114	  0.782	 -0.872	 0.339	 7.27	 2.64	12.36	  2958
Berkeley_17      	080.130	+30.574	 254	  2.618	 -0.350	 0.281	 9.86	 1.63	12.62	  3341
Berkeley_18      	080.531	+45.442	 253	  0.849	 -0.057	 0.152	 9.64	 1.53	13.75	  5632
Berkeley_19      	081.014	+29.575	  45	  0.757	 -0.329	 0.135	 9.34	 0.85	14.09	  6568
Berkeley_2       	006.319	+60.392	  73	 -1.101	 -0.304	 0.117	 8.77	 2.34	14.20	  6928
Berkeley_20      	083.152	+00.185	  37	  0.808	 -0.244	 0.040	 9.68	 0.37	14.70	  8728
Berkeley_21      	087.930	+21.812	  27	  0.562	 -1.051	 0.159	 9.33	 1.96	14.04	  6417
Berkeley_22      	089.618	+07.763	  18	  0.648	 -0.473	 0.069	 9.39	 1.99	13.97	  6225
Berkeley_23      	098.318	+20.535	  91	 -0.055	 -1.339	 0.151	 9.02	 0.83	13.67	  5425
Berkeley_24      	099.452	-00.874	 218	  0.382	  1.279	 0.156	 9.15	 1.74	13.45	  4900
Berkeley_25      	100.317	-16.487	  20	 -0.114	  0.845	 0.077	 9.39	 1.07	14.16	  6780
Berkeley_27      	102.837	+05.772	  54	 -1.091	  0.147	 0.190	 9.23	 1.23	13.42	  4835
Berkeley_28      	103.028	+02.922	  53	 -0.987	  0.154	 0.209	 8.54	 1.60	13.40	  4789
Berkeley_29      	103.268	+16.930	  11	  0.151	 -1.010	 0.023	 9.49	 0.24	15.50	 12604
Berkeley_30      	104.438	+03.229	  85	 -0.252	 -0.330	 0.164	 8.47	 1.27	13.66	  5383
Berkeley_31      	104.406	+08.285	  95	  0.169	 -0.926	 0.141	 9.45	 0.35	14.28	  7177
Berkeley_32      	104.530	+06.433	 361	 -0.335	 -1.608	 0.280	 9.69	 0.34	12.44	  3072
Berkeley_33      	104.456	-13.227	 126	 -0.730	  1.551	 0.144	 8.37	 1.75	13.84	  5851
Berkeley_34      	105.097	-00.239	  30	 -1.336	  0.175	 0.097	 9.38	 1.64	14.41	  7609
Berkeley_35      	107.491	+02.734	  83	 -0.580	 -0.235	 0.160	 9.07	 0.43	13.38	  4745
Berkeley_36      	109.105	-13.196	 150	 -1.725	  0.860	 0.206	 9.83	 1.42	13.20	  4360
Berkeley_37      	110.075	-01.002	 106	 -1.113	  0.682	 0.197	 8.97	 0.17	13.11	  4185
Berkeley_39      	116.702	-04.665	 530	 -1.730	 -1.645	 0.201	 9.75	 0.29	12.99	  3968
Berkeley_4       	011.291	+64.391	  42	 -2.421	 -0.236	 0.296	 7.33	 2.16	12.47	  3121
Berkeley_43      	288.872	+11.265	 197	 -1.035	 -3.504	 0.186	     	     	     	
Berkeley_44      	289.313	+19.550	 192	  0.007	 -2.834	 0.303	 9.16	 2.75	12.28	  2863
Berkeley_45      	289.778	+15.716	  91	 -1.336	 -4.534	 0.225	 8.79	 2.88	12.61	  3328
Berkeley_47      	292.127	+17.362	  52	 -1.894	 -5.444	 0.402	 7.34	 4.02	11.93	  2437
Berkeley_49      	299.872	+34.643	  77	 -2.995	 -6.095	 0.286	 8.41	 3.24	12.41	  3030
Berkeley_5       	026.928	+62.935	  30	 -1.610	  0.764	 0.088	 9.06	 3.46	14.25	  7079
Berkeley_50      	302.505	+34.967	  82	 -3.398	 -5.072	 0.246	 7.88	 2.12	12.64	  3380
Berkeley_51      	302.972	+34.402	  89	 -3.066	 -4.918	 0.167	     	     	     	
Berkeley_52      	303.621	+28.947	  63	 -4.292	 -5.679	 0.147	     	     	     	
Berkeley_53      	313.975	+51.060	 558	 -3.795	 -5.682	 0.247	 8.99	 4.42	12.67	  3415
Berkeley_54      	315.745	+40.433	  87	 -3.091	 -3.254	 0.120	 9.43	 2.24	14.12	  6680
Berkeley_55      	319.232	+51.762	 107	 -4.050	 -4.618	 0.309	 8.30	 4.80	12.20	  2754
Berkeley_56      	319.391	+41.835	  68	 -1.901	 -1.831	 0.047	 9.47	 1.42	14.89	  9516
Berkeley_58      	000.063	+60.937	 123	 -3.498	 -1.782	 0.282	 7.78	 1.83	12.70	  3468
Berkeley_59      	000.570	+67.441	 235	 -1.616	 -1.764	 0.916	     	     	     	
Berkeley_6       	027.803	+61.061	  66	 -0.857	 -0.485	 0.310	 8.35	 1.80	12.42	  3051
Berkeley_60      	004.440	+60.936	 104	 -0.682	 -0.732	 0.236	 8.57	 2.07	12.85	  3711
Berkeley_61      	012.040	+67.199	  40	 -2.505	 -0.014	 0.309	 8.26	 2.07	12.33	  2922
Berkeley_62      	015.309	+63.918	  84	 -2.150	 -0.353	 0.360	 7.17	 2.09	12.12	  2660
Berkeley_63      	034.858	+63.718	  47	 -0.958	  0.203	 0.172	 7.26	 2.52	13.67	  5412
Berkeley_64      	035.428	+65.888	  41	 -0.511	  0.998	 0.159	 9.09	 2.28	13.40	  4775
Berkeley_65      	039.768	+60.403	  37	 -0.700	 -0.337	 0.444	 7.99	 2.49	11.79	  2282
Berkeley_66      	046.030	+58.731	  25	 -0.120	 -0.191	 0.158	 9.49	 3.60	13.39	  4759
Berkeley_67      	069.472	+50.755	 153	  2.316	 -1.374	 0.415	 9.10	 2.03	11.73	  2216
Berkeley_68      	071.053	+42.134	 200	  2.310	 -1.312	 0.281	 9.32	 1.38	12.65	  3383
Berkeley_69      	081.090	+32.607	  99	  0.806	 -1.937	 0.259	 8.90	 1.61	12.66	  3410
Berkeley_7       	028.546	+62.366	  89	 -0.993	 -0.130	 0.337	 7.53	 1.92	12.28	  2863
Berkeley_70      	081.457	+41.951	 137	  0.947	 -1.864	 0.177	 9.34	 1.23	13.48	  4954
Berkeley_71      	085.233	+32.272	  57	  0.650	 -1.614	 0.226	 8.94	 2.53	12.78	  3598
Berkeley_72      	087.559	+22.247	  55	  0.853	 -0.261	 0.154	 7.73	 1.65	13.69	  5470
Berkeley_73      	095.520	-06.321	  45	  0.227	  1.110	 0.128	 9.15	 0.69	13.95	  6158
Berkeley_75      	102.252	-23.999	  39	 -0.264	  1.088	 0.088	 9.23	 0.29	14.60	  8304
Berkeley_76      	106.672	-11.735	  37	 -0.580	  1.400	 0.218	 9.22	 1.38	13.38	  4746
Berkeley_77      	110.362	-03.234	  60	 -1.001	 -0.113	 0.257	 8.87	 0.29	12.79	  3617
Berkeley_78      	110.913	+05.370	 113	 -0.071	 -1.240	 0.187	 9.59	 0.22	13.08	  4125
Berkeley_79      	281.250	-01.146	  79	 -0.118	 -1.554	 0.402	 8.24	 2.68	11.78	  2272
Berkeley_8       	030.306	+75.489	 250	  2.650	  0.439	 0.250	 9.56	 1.75	12.62	  3339
Berkeley_80      	283.591	-01.214	  72	 -0.755	 -2.667	 0.390	 8.20	 3.50	11.78	  2270
Berkeley_81      	285.419	-00.454	 127	 -1.204	 -1.853	 0.254	 9.06	 2.75	12.60	  3313
Berkeley_82      	287.845	+13.111	  23	  0.178	 -3.168	 0.708	 8.02	 2.43	10.68	  1365
Berkeley_83      	300.356	+28.645	  30	 -2.604	 -4.692	 0.092	 8.38	 4.59	14.12	  6663
Berkeley_85      	304.692	+37.744	 310	 -2.940	 -4.677	 0.220	 8.62	 2.77	12.74	  3526
Berkeley_86      	305.084	+38.688	  23	 -3.447	 -5.402	 0.558	 7.04	 2.77	11.05	  1621
Berkeley_87      	305.396	+37.433	 112	 -3.654	 -6.264	 0.573	 6.92	 3.68	11.08	  1644
Berkeley_89      	306.114	+46.048	 176	 -2.014	 -2.245	 0.239	 9.32	 1.91	12.73	  3508
Berkeley_9       	053.167	+52.649	 142	  1.493	  0.037	 0.513	 9.14	 2.69	11.29	  1814
Berkeley_90      	308.819	+46.843	  82	 -2.829	 -4.369	 0.302	 6.71	 3.60	12.40	  3025
Berkeley_91      	317.711	+48.543	  32	 -1.599	 -2.927	 0.203	 8.80	 4.04	13.91	  6057
Berkeley_92      	321.206	+57.528	  35	 -2.464	 -2.325	 0.068	 9.44	 2.20	14.31	  7282
Berkeley_94      	335.711	+55.862	  39	 -3.713	 -2.861	 0.217	 7.19	 1.62	13.06	  4097
Berkeley_95      	337.082	+59.129	  31	 -3.401	 -2.287	 0.248	 7.08	 3.83	12.96	  3907
Berkeley_96      	337.478	+55.408	  53	 -3.503	 -2.994	 0.252	 7.57	 1.43	12.77	  3573
Berkeley_97      	339.853	+59.005	  76	 -2.736	 -1.808	 0.314	 7.18	 2.58	12.55	  3241
Berkeley_98      	340.665	+52.407	 148	 -1.353	 -3.186	 0.253	 9.39	 0.61	12.73	  3519
Berkeley_99      	350.260	+71.778	  88	 -3.139	 -0.359	 0.137	 9.53	 0.72	13.54	  5105
Bica_3           	276.519	-13.058	  70	 -0.588	 -1.598	 0.391	     	     	     	
Biurakan_2       	302.283	+35.488	  47	 -3.169	 -6.843	 0.542	 6.97	 0.93	11.18	  1723
